,trip_distance,trip_duration_minutes,total_amount
trip_distance,1.0,0.6741520419277041,0.6622858782178963
trip_duration_minutes,0.6741520419277041,1.0,0.6852911754429161
total_amount,0.6622858782178963,0.6852911754429161,1.0
