,count,mean,std,min,25%,50%,75%,max
trip_distance,3460949.0,2.240936329891021,1.6925096717372257,0.01,1.02,1.7,2.93,7.96
trip_duration_minutes,3460949.0,15.262231683660561,9.799880296547329,0.016666666666666666,8.25,13.233333333333333,19.966666666666665,237.83333333333334
fare_amount,3460949.0,17.061027715230708,10.41240058378316,0.0,10.0,14.44,21.9,1061.72
total_amount,3460949.0,24.969151065213616,11.99266352081997,0.75,16.95,22.26,29.94,1065.72
